Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
597.0,55.83345081531349,33.90530304757164
598.0,55.04914972915473,33.61803770470101
599.0,55.174873818916225,33.78220263362921
600.0,56.03496568563782,32.983744769878264
601.0,55.938976423796106,32.461832706892636
602.0,54.694752638677016,32.63718110100911
603.0,54.24295662659996,33.61734918766318
604.0,54.16638344769099,32.69480731162351
605.0,54.18215107001363,32.15607436311868
606.0,53.96032120760558,32.02975043432688
607.0,54.01293285508267,31.667588725831347
608.0,53.960575627007685,32.776860081263024
609.0,52.8156793354388,31.730126450039442
610.0,52.39930111703608,31.16731498689387
611.0,52.836216492236005,30.51234138098032
612.0,52.83210054408971,28.80355750519606
613.0,53.12112588899819,29.048765655577746
614.0,51.89631380312245,29.511983691710206
615.0,51.53576463551676,29.770152440926815
616.0,51.642887274189064,28.540000898367
617.0,51.70582624023049,27.632920994808586
618.0,54.08188281974554,28.457372540490564
619.0,53.74873274324333,29.18323727119715
620.0,53.38777728619555,30.63779516720986
621.0,52.64080970698352,30.27272391970001
622.0,52.36231298228156,29.02768040395286
623.0,52.497018396130315,28.97733829731192
624.0,52.462355760320584,27.53084612367151
625.0,51.68151441744875,28.05207654690568
626.0,51.02842759909536,29.17715890273258
627.0,50.65708005435272,29.183083005096094
628.0,51.05686806580934,27.883429131167244
629.0,50.91894702952985,26.52588734155689
630.0,50.16007814943652,25.654814011384893
631.0,48.988962361804745,25.102218646966435
632.0,48.770695248270364,25.138520740626575
633.0,48.456520892997524,24.024224949697047
634.0,48.266124040727064,23.154530164877198
635.0,48.22563492791033,22.627806632619983
636.0,47.81385063156152,21.981524492328997
637.0,47.48015803403579,22.171644550585725
638.0,46.25115021600451,22.577874313374128
639.0,46.19189867511539,22.401858123236554
640.0,46.824237024185656,21.31054003174807
641.0,46.66248579337597,20.31052509707364
642.0,45.61230735088505,20.22863059639529
643.0,44.897640206723075,20.77714427324863
644.0,44.51970803336265,20.708729117453558
645.0,43.959495400971555,19.51361489805982
646.0,44.29039424947499,19.237315070719955
647.0,44.15762316793491,18.12184801231256
648.0,44.409047807841965,17.77491819415605
649.0,43.76559287399651,18.411493292591647
650.0,42.75765423018067,18.092566118364754
651.0,42.88020771654982,17.24896319334538
652.0,43.220303926824265,15.91221257098121
653.0,42.968788874016695,14.887972860218806
654.0,41.79310154143132,14.99575275379956
655.0,40.728964945557195,16.184696335563274
656.0,40.589465322798716,16.159315877440697
657.0,41.29141548591461,14.970940719999426
658.0,41.11131812804173,14.307212259802528
659.0,41.14901484803131,13.656504540763812
660.0,40.70283772386405,13.57814826059208
661.0,40.10558902678664,14.404408079365558
662.0,39.33786852394705,14.037501254571744
663.0,39.43308619966126,12.958125991568647
664.0,40.19227567202627,11.24944398783799
665.0,39.89092063693751,10.712711906743104
666.0,38.84892470479705,11.804195679094274
667.0,38.25816323365346,12.182876320077094
668.0,38.28947887959737,10.878930411049712
669.0,38.60413817611008,10.079216714612846
670.0,38.486844269032765,9.126358723976246
671.0,38.15240865779351,8.893215619010686
672.0,37.54083371765858,8.976754434347866
673.0,36.874489177698116,9.559077328264106
674.0,36.50086102638386,8.947448408497285
675.0,36.540789279992275,7.921530261911467
676.0,37.164437113755106,6.483882768255189
677.0,36.942011784446585,6.353571562779159
678.0,35.881840825317475,7.840943001739558
679.0,35.19939436735363,7.85668233869186
680.0,35.417382248444106,6.665652310985216
681.0,36.30176836836986,5.937157339289769
682.0,35.70937334884589,6.090065094988689
683.0,35.00834321818604,6.662787783135741
684.0,34.8888731266772,7.3262140288059765
685.0,34.7054211726404,6.879527930142652
686.0,34.340367305255896,6.144561070576757
687.0,34.73865853849171,5.253428789481778
688.0,35.817487890491,4.286116962339591
689.0,35.12598210903659,5.232838009952574
690.0,34.614035264080194,6.446349030356788
691.0,34.224477484637106,6.130529738856055
692.0,34.5961903140251,5.360713027045859
693.0,35.28955764570838,4.402481006932892
694.0,35.06321939151334,3.8185055913517503
695.0,34.411815540150776,4.600953932101226
696.0,34.33105529710314,5.972194872810403
697.0,34.0854775802898,5.550096762413671
698.0,34.75163030922419,4.617165111337851
699.0,35.468433503007425,3.3575746911231694
700.0,35.06983125053685,3.8641518607684913
701.0,34.388174495918314,5.129229723745097
702.0,34.07193113478206,6.082625515918851
703.0,33.96858102961398,5.261485092191338
704.0,34.40700564438637,4.250217036939005
705.0,34.599914653745394,3.6449127007553312
706.0,34.78849988386422,3.6063757720117415
707.0,34.33302001098627,5.022221102317246
708.0,33.81189405327471,5.780822746891203
709.0,33.45607955672656,5.5165659466516965
710.0,33.695067661802945,4.30129348069207
711.0,34.622165537897274,3.454347402537894
712.0,34.52802398822664,3.4949511766656984
713.0,33.3251010429708,4.8393831980155655
714.0,32.92397067015427,5.532808299378726
715.0,32.70671082251927,4.584440554691119
716.0,33.644239271626056,3.8400721643128266
717.0,34.24091562151337,2.5085579319186575
718.0,33.92915611685346,2.9954928343161047
719.0,33.25754821531884,4.712289820529801
720.0,32.710734493393886,4.969546392521421
721.0,32.699229719174575,4.03935941352088
